Name of Covered Entity,State,Covered Entity Type,Individuals Affected,Breach Submission Date,Type of Breach,Location of Breached Information
Wyoming Department of Health,WY,Health Plan,11935,12/19/2013,Hacking/IT Incident,Network Server
DeLoach & Williamson,SC,Business Associate,3432,12/18/2013,Theft,Laptop
Walla Walla VA Medical Center,WA,Healthcare Provider,1519,12/18/2013,Unauthorized Access/Disclosure,Email
Shiloh Medical Clinic,MT,Healthcare Provider,1900,12/17/2013,Unauthorized Access/Disclosure,"Desktop Computer, Email"
Wyoming Department of Health,WY,Health Plan,11935,12/16/2013,Unauthorized Access/Disclosure,Network Server
Molina Healthcare In,CA,Business Associate,1499,12/16/2013,Unauthorized Access/Disclosure,Network Server
Mosaic,NE,Healthcare Provider,3857,12/11/2013,Unauthorized Access/Disclosure,Email
L.A. Gay & Lesbian Center,CA,Healthcare Provider,59000,12/10/2013,Hacking/IT Incident,Network Server
"Health Help, Inc.",KY,Healthcare Provider,535,12/10/2013,Theft,Other Portable Electronic Device
"Northside Hospital, Inc.",GA,Healthcare Provider,4879,12/10/2013,Loss,Laptop
Florida Digestive Health Specialists,FL,Healthcare Provider,4400,12/9/2013,Unauthorized Access/Disclosure,Desktop Computer
Methodist Dallas Medical Center,TX,Healthcare Provider,44000,12/6/2013,Unauthorized Access/Disclosure,Other
Walgreen Co.,IL,Healthcare Provider,17350,12/6/2013,Other,Paper/Films
PruittHealth Corporation,GA,Healthcare Provider,4500,12/6/2013,Theft,Laptop
The Good Samaritan Health Center,GA,Healthcare Provider,5000,12/6/2013,Hacking/IT Incident,Desktop Computer
SIU HealthCare,IL,Healthcare Provider,1891,12/6/2013,"Loss, Theft",Laptop
"Quality Health Claims Consultants, LLC",IL,Business Associate,1573,12/6/2013,Theft,Email
Medical Mutual of Ohio,OH,Health Plan,643,12/6/2013,Unauthorized Access/Disclosure,Paper/Films
"American Anesthesiology, Inc.",FL,Healthcare Provider,1000,12/4/2013,Unauthorized Access/Disclosure,Paper/Films
City of Chicago,IL,Healthcare Provider,2080,11/29/2013,Unauthorized Access/Disclosure,Network Server
"UW Medicine, Privacy Manager - Breach",WA,Healthcare Provider,76183,11/27/2013,Hacking/IT Incident,Desktop Computer
UPMC,PA,Healthcare Provider,1279,11/27/2013,Unauthorized Access/Disclosure,Electronic Medical Record
Ronald Schubert MD PLLC,WA,Healthcare Provider,950,11/26/2013,Theft,Laptop
Jones Chiropractic and Maximum Health,IN,Healthcare Provider,1500,11/26/2013,Theft,Desktop Computer
"Molina Healthcare of Texas, Inc.",TX,Health Plan,2826,11/26/2013,Unauthorized Access/Disclosure,Other
Kaiser Foundation Hospital- Orange County,CA,Healthcare Provider,49000,11/22/2013,Loss,Other Portable Electronic Device
New Jersey Department of Human Services,NJ,Health Plan,9825,11/22/2013,Loss,Other Portable Electronic Device
"University of California, San Francisco",CA,Healthcare Provider,8294,11/22/2013,Theft,"Laptop, Paper/Films"
Redwood Memorial Hospital,CA,Healthcare Provider,1039,11/19/2013,Loss,Other Portable Electronic Device
"United Dynacare, LLC dba Dynacare Laboratories",WI,Healthcare Provider,9328,11/18/2013,Theft,Other Portable Electronic Device
UHS-Pruitt Corporation,GA,Healthcare Provider,1300,11/15/2013,Theft,Laptop
Health Fitness Corporation,IL,Business Associate,4837,11/14/2013,Theft,Laptop
Health Fitness Corporation,IL,Business Associate,3804,11/14/2013,Theft,Laptop
Memorial Sloan-Kettering Cancer Center,NY,Healthcare Provider,2279,11/13/2013,Loss,Other Portable Electronic Device
All Source Medical Management,AZ,Business Associate,1456,11/13/2013,Theft,Other
Hospice of the Chesapeake,MD,Healthcare Provider,7606,11/12/2013,Theft,Email
Kemmet Dental Design,ND,Healthcare Provider,2000,11/12/2013,Theft,Paper/Films
Associated Urologists of North Carolina,NC,Healthcare Provider,7300,11/8/2013,Unauthorized Access/Disclosure,Other
Triple S Salud Inc.,PR,Business Associate,13336,11/8/2013,Unauthorized Access/Disclosure,Paper/Films
North Carolina Department of Health and Human Services - Division of State Operated Health Care Facilities  ,NC,Healthcare Provider,1315,11/8/2013,Unauthorized Access/Disclosure,Other
Blue Cross and Blue Shield of North Carolina,NC,Health Plan,687,11/7/2013,Unauthorized Access/Disclosure,Paper/Films
DaVita,CA,Healthcare Provider,11500,11/5/2013,Theft,Laptop
"Barnabas Health Medical Group, P.C.",NJ,Healthcare Provider,1100,11/5/2013,Theft,Laptop
Allina Health,MN,Healthcare Provider,3807,11/4/2013,Unauthorized Access/Disclosure,Electronic Medical Record
"Colorado Health & Wellness, Inc.",CO,Healthcare Provider,651,11/2/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Genesis Rehabilitation Services,PA,Healthcare Provider,1167,11/1/2013,Loss,Other Portable Electronic Device
"Superior HealthPlan, Inc.",TX,Health Plan,6284,11/1/2013,Other,Paper/Films
Comprehensive Psychological Services LLC,SC,Healthcare Provider,3500,11/1/2013,Theft,Laptop
Advocate Health and Hospitals Corporation,IL,Healthcare Provider,2237,11/1/2013,Theft,Laptop
"Reimbursement Technologies, Inc.",PA,Healthcare Clearing House,2300,10/31/2013,Unauthorized Access/Disclosure,Network Server
Rotech Healthcare Inc.,FL,Healthcare Provider,10680,10/29/2013,Unauthorized Access/Disclosure,Laptop
"Spirit Home Health Care, Corp",FL,Business Associate,603,10/29/2013,Improper Disposal,Paper/Films
"Greater Dallas Orthopaedics, PLLC",TX,Healthcare Provider,5840,10/28/2013,Theft,Desktop Computer
AHMC Healthcare Inc. and affiliated Hospitals,CA,Healthcare Provider,729000,10/25/2013,Theft,Laptop
SSM Health Care of Wisconsin DBA: St. Maryï¿½ï¿½ï¿½s Janesville Hospital,WI,Healthcare Provider,631,10/25/2013,Theft,Laptop
Good Samaritan Hospital,CA,Healthcare Provider,3833,10/25/2013,Theft,Laptop
"Martin Luther King Jr. Health Center, Inc.",NY,Business Associate,37000,10/25/2013,Unauthorized Access/Disclosure,Network Server
Bronx Lebanon Hospital Center,NY,Business Associate,10930,10/25/2013,Unauthorized Access/Disclosure,Network Server
Seton Healthcare Family,TX,Healthcare Provider,5500,10/23/2013,Theft,Laptop
Ferris State University MI College of Optometry,MI,Healthcare Provider,3947,10/23/2013,Hacking/IT Incident,Network Server
Texas Health Presbyterian Dallas Hospital,TX,Healthcare Provider,949,10/22/2013,Theft,Desktop Computer
Mount Sinai Medical Center,NY,Healthcare Provider,610,10/21/2013,Loss,Other Portable Electronic Device
Broward Health Medical Center,FL,Healthcare Provider,960,10/17/2013,Unauthorized Access/Disclosure,Desktop Computer
"Hope Community Resources, Inc.",AK,Healthcare Provider,1556,10/16/2013,Unauthorized Access/Disclosure,Email
"North Country Hospital and Health Center, Inc",VT,Healthcare Provider,550,10/15/2013,Theft,Laptop
BriovaRx,IL,Healthcare Provider,1067,10/14/2013,Unauthorized Access/Disclosure,Email
Rose Medical Center,CO,Healthcare Provider,606,10/14/2013,Improper Disposal,Paper/Films
Access Counseling LLC,IN,Healthcare Provider,566,10/14/2013,Theft,Laptop
BlackHawk,IL,Business Associate,7120,10/9/2013,Hacking/IT Incident,Network Server
St. Louis University,MO,Health Plan,3100,10/7/2013,Hacking/IT Incident,Email
Healthcare Management System ,TN,Business Associate,4330,10/4/2013,Unauthorized Access/Disclosure,Paper/Films
Mount SInai Medical Center,NY,Healthcare Provider,1586,10/4/2013,Improper Disposal,Paper/Films
CaroMont Medical Group,NC,Healthcare Provider,1310,10/4/2013,Hacking/IT Incident,Email
Schuylkill Health System LVHN,PA,Healthcare Provider,2810,10/4/2013,Theft,Laptop
Group Health Cooperative,WA,Healthcare Provider,1015,10/3/2013,Other,Paper/Films
"Reconstructive Orthopaedic Associates II, P.C. d/b/a Rothman Institute",PA,Healthcare Provider,2350,10/3/2013,Theft,Paper/Films
"University of California, San Francisco",CA,Healthcare Provider,3553,10/3/2013,Theft,"Laptop, Paper/Films"
TSYS Employee Health Plan,GA,Health Plan,5232,10/2/2013,Theft,Email
UnityPoint Health Affiliated,IA,Healthcare Provider,1825,10/2/2013,Unauthorized Access/Disclosure,Electronic Medical Record
"Paul G. Klein, DPM",NJ,Healthcare Provider,2500,10/1/2013,Theft,Laptop
HOPE Family Health,TN,Healthcare Provider,6932,9/30/2013,Theft,Laptop
Carol L Patrick Ph. D.,OH,Healthcare Provider,517,9/30/2013,Theft,"Desktop Computer, Network Server"
"Sarah Benjamin, DPM - Littleton Podiatry",CO,Healthcare Provider,3512,9/28/2013,Theft,Laptop
Santa Clara Valley Medical Center,CA,Healthcare Provider,579,9/27/2013,Theft,Laptop
Comprehensive Podiatry LLC,OH,Healthcare Provider,1360,9/27/2013,Theft,Laptop
Region Ten Community Services Board,VA,Healthcare Provider,10228,9/26/2013,Theft,Email
"Holy Cross Hospital, Inc.",FL,Healthcare Provider,9900,9/24/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server"
"InfoCrossing, Inc.",MO,Business Associate,25461,9/20/2013,Unauthorized Access/Disclosure,Paper/Films
Sierra View District Hospital,CA,Healthcare Provider,1009,9/20/2013,Unauthorized Access/Disclosure,Electronic Medical Record
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,9/16/2013,Unknown,Other
"South Shore Physicians, PC",NY,Healthcare Provider,8000,9/16/2013,Theft,Network Server
Dreyer Medical Clinic,IL,Business Associate,998,9/13/2013,Hacking/IT Incident,Network Server
Advocate Health and Hospitals Corporation d/b/a Advocate Medical Group,IL,Business Associate,2029,9/13/2013,Hacking/IT Incident,Network Server
"NHC HealthCare, Mauldin",SC,Healthcare Clearing House,4204,9/13/2013,Improper Disposal,Other
"NHC HealthCare, Oak Ridge",TN,Healthcare Provider,4268,9/13/2013,Loss,Other
Dermatology Associates of Tallahassee,FL,Healthcare Provider,915,9/12/2013,Theft,Other Portable Electronic Device
PHMHS,PR,Business Associate,5000,9/11/2013,Theft,Network Server
"ICS Collection Service, Inc.",IL,Business Associate,1290,9/6/2013,Hacking/IT Incident,Other
"Hankyu Chung, M.D.",CA,Healthcare Provider,2182,9/6/2013,Theft,Laptop
Kaiser Foundation Health Plan of the Northwest,OR,Health Plan,647,9/3/2013,Unauthorized Access/Disclosure,Electronic Medical Record
Olson & White Orthodontics,MO,Healthcare Provider,10000,9/3/2013,Theft,"Desktop Computer, Network Server"
Janna Benkelman LPC LLC,CO,Healthcare Provider,1500,9/3/2013,Theft,Laptop
Valperaiso Fire Department,IN,Health Plan,,9/3/2013,Theft,Desktop Computer
St. Anthony's Physician Organization,MO,Healthcare Provider,2600,8/30/2013,Theft,"Laptop, Other Portable Electronic Device"
Atlanta Center for Reproductive Medicine,GA,Healthcare Provider,654,8/30/2013,Unauthorized Access/Disclosure,Email
"Cogent Healthcare, Inc.",TN,Business Associate,32000,8/30/2013,Theft,Network Server
UT Physicians,TX,Healthcare Provider,596,8/28/2013,Theft,Laptop
"Summit Community Care Clinic, Inc.",CO,Healthcare Provider,921,8/27/2013,Hacking/IT Incident,Desktop Computer
"Advocate Health and Hospitals Corporation, d/b/a Advocate Medical Group",IL,Healthcare Provider,4029530,8/23/2013,Theft,Desktop Computer
Jackson Health System,FL,Healthcare Provider,1471,8/22/2013,Loss,Paper/Films
Elbowoods Memorial Health Center,ND,Health Plan,10000,8/21/2013,Improper Disposal,"Desktop Computer, Other, Other Portable Electronic Device, Paper/Films"
North Texas Comprehensive Spine & Pain Center,TX,Healthcare Provider,3200,8/19/2013,"Loss, Theft",Other Portable Electronic Device
California Correctional Health Care Services,CA,Healthcare Provider,1033,8/16/2013,Other,Paper/Films
Foundations Recovery Network,TN,Healthcare Provider,5690,8/15/2013,Unauthorized Access/Disclosure,Laptop
"InfoCrossing, Inc.",MO,Business Associate,1357,8/13/2013,Unauthorized Access/Disclosure,Paper/Films
Anthem BCBS of GA,IN,Business Associate,5497,8/13/2013,Theft,Other
Hancock OB/GYN,IN,Healthcare Provider,1396,8/12/2013,Unauthorized Access/Disclosure,Electronic Medical Record
Young Family Medicine Inc,OH,Healthcare Provider,2045,8/12/2013,Theft,Desktop Computer
M2ComSys Inc.,NV,Business Associate,32151,8/8/2013,Unauthorized Access/Disclosure,Network Server
Baylor All Saints Medical Center at Fort Worth,TX,Healthcare Provider,940,8/5/2013,Unauthorized Access/Disclosure,Other Portable Electronic Device
Health Resources of Arkansas,AR,Business Associate,1911,8/5/2013,Theft,Laptop
Missouri Department of Social Services,MO,Business Associate,1357,8/2/2013,Unauthorized Access/Disclosure,Paper/Films
"Vitreo-Retinal Medical Group, Inc. ",CA,Healthcare Provider,1837,8/2/2013,Theft,Laptop
Rocky Mountain Spine Clinic,CO,Healthcare Provider,532,7/31/2013,Unauthorized Access/Disclosure,Email
"California Correctional Health Care Services, Privacy Manager Breach",CA,Healthcare Provider,1001,7/30/2013,Unknown,Other
Oregon Health & Science University,OR,Healthcare Provider,1361,7/28/2013,Unauthorized Access/Disclosure,Other
Louisiana State University Health Care Services Division,LA,Healthcare Provider,1100,7/25/2013,Unauthorized Access/Disclosure,Desktop Computer
Louisiana State University Health Care Services Division,LA,Healthcare Provider,6994,7/22/2013,Unauthorized Access/Disclosure,Desktop Computer
The Brookdale Hospital and Medical Center,NY,Healthcare Provider,2700,7/20/2013,Loss,Other Portable Electronic Device
"GEO Care, LLC",FL,Healthcare Provider,710,7/19/2013,Theft,Desktop Computer
Rite Aid #2255,WV,Health Plan,948,7/19/2013,Other,Paper/Films
Jesle Kuizon,CA,Business Associate,800,7/18/2013,"Hacking/IT Incident, Theft, Unauthorized Access/Disclosure","Desktop Computer, Network Server"
Harris County,TX,Health Plan,21000,7/16/2013,Unauthorized Access/Disclosure,Desktop Computer
Sheet Metal Local 36 Welfare Fund,MO,Business Associate,4560,7/15/2013,Unauthorized Access/Disclosure,Other
"Hansen and Associates, Inc.",WY,Business Associate,2700,7/15/2013,Unauthorized Access/Disclosure,Desktop Computer
Illinois Department of Healthcare and Family Services,IL,Healthcare Provider,3133,7/15/2013,Hacking/IT Incident,Paper/Films
Long Beach Memorial Medical Center,CA,Healthcare Provider,2864,7/11/2013,Unauthorized Access/Disclosure,Electronic Medical Record
Shred-it International Inc.,TX,Business Associate,277014,7/11/2013,Improper Disposal,Other
"Medtronic, Inc.",MN,Healthcare Provider,2764,7/10/2013,Theft,Paper/Films
Children's Medical Center of Dallas,TX,Healthcare Provider,2462,7/10/2013,Theft,Laptop
ZDI,CA,Business Associate,4718,7/10/2013,Loss,Paper/Films
Family Health Network,IL,Business Associate,3133,7/8/2013,Other,Paper/Films
Sutter Health East Bay Region,CA,Healthcare Provider,4479,7/5/2013,Unauthorized Access/Disclosure,Email
MED-EL Coproration,NC,Healthcare Provider,609,7/5/2013,Other,Email
Samaritan Regional Health System,OH,Healthcare Provider,2203,7/3/2013,Theft,Paper/Films
"South Florida Neurology Associates, P.A.",FL,Healthcare Provider,900,7/3/2013,Theft,Laptop
"Health Net, Inc.",CA,Health Plan,8331,7/2/2013,Other,Paper/Films
CVS Caremark,AZ,Business Associate,4305,7/2/2013,Theft,Paper/Films
RCR Technology Corporation,IN,Business Associate,187533,7/1/2013,Other,Paper/Films
Alberto Gerardo Vazquez Rivera,PR,Business Associate,679,6/28/2013,Theft,Laptop
Lone Star Circle of Care,TX,Healthcare Provider,1955,6/28/2013,Theft,Laptop
James A. Fosnaugh,NE,Healthcare Provider,2125,6/26/2013,Loss,Other Portable Electronic Device
Iowa Department of Human Services,IA,Healthcare Provider,7335,6/26/2013,"Loss, Unknown",Other
Jacksonville Spine Center,FL,Healthcare Provider,5200,6/24/2013,Theft,Paper/Films
"Gulf Breeze Family Eyecare, Inc",FL,Healthcare Provider,9626,6/17/2013,"Theft, Unauthorized Access/Disclosure","Desktop Computer, Electronic Medical Record, Email, Network Server, Paper/Films"
Union Security Insurance Company,MO,Health Plan,1127,6/17/2013,Improper Disposal,Email
Lincoln County Health and Human Services/Lincoln Community Health Center,OR,Healthcare Provider,959,6/14/2013,Unauthorized Access/Disclosure,Paper/Films
Fayetteville VAMC,NC,Healthcare Provider,1093,6/14/2013,Theft,Paper/Films
"Lucile Packard Childrens Hospital, Privacy Manager Breach",CA,Healthcare Provider,12900,6/13/2013,Theft,Laptop
Palm Beach County Health Department,FL,Healthcare Provider,877,6/11/2013,Unauthorized Access/Disclosure,Desktop Computer
UMASSAmherst,MA,Healthcare Provider,1670,6/5/2013,Hacking/IT Incident,Desktop Computer
"Community Support Services, Inc.",OH,Healthcare Provider,1167,6/3/2013,Theft,Email
University of Florida,FL,Healthcare Provider,5875,5/30/2013,"Theft, Unauthorized Access/Disclosure",Electronic Medical Record
Bon Secours Mary Immaculate Hospital,VA,Healthcare Provider,5764,5/29/2013,Theft,Electronic Medical Record
Sonoma Valley Hospital,CA,Healthcare Provider,1386,5/24/2013,Other,Other
Independence Care System,NY,Healthcare Provider,2434,5/24/2013,Theft,Laptop
SynerMed / Inland Valleys IPA,CA,Business Associate,3164,5/24/2013,Theft,Laptop
Health Resources of Arkansas,AR,Healthcare Provider,1900,5/23/2013,"Theft, Unauthorized Access/Disclosure",Other
Erskine Family Dentistry,IN,Healthcare Provider,2723,5/21/2013,Hacking/IT Incident,Desktop Computer
Just the Connection Inc,IN,Business Associate,5388,5/20/2013,Improper Disposal,Other
Lutheran Social Services of South Central Pennsylvania,PA,Healthcare Provider,7803,5/20/2013,Hacking/IT Incident,Network Server
City of Norwood,OH,Healthcare Provider,9577,5/20/2013,Loss,Laptop
Dent Neurologic Institute,NY,Healthcare Provider,10000,5/14/2013,Unauthorized Access/Disclosure,Email
Indiana University Health Arnett,IN,Healthcare Provider,10350,5/13/2013,Theft,Laptop
"E-dreamz, Inc.",NC,Business Associate,1924,5/10/2013,Hacking/IT Incident,Network Server
"North Atlantic Telecom, Inc.",TN,Business Associate,539,5/8/2013,Other,Desktop Computer
"E-dreamz, Inc.",NC,Business Associate,9988,5/8/2013,Hacking/IT Incident,Network Server
Regional Medical Center,TN,Healthcare Provider,1180,5/7/2013,Unauthorized Access/Disclosure,Email
Seattle - King County Department of Public Health,WA,Healthcare Provider,750,5/7/2013,Improper Disposal,Paper/Films
